Timestamp,SystemCodeNumber,Capacity,Occupancy,IsSpecialDay,VehicleType,Latitude,Longitude,TrafficConditionNearby,QueueLength,OccupancyRate,BaselinePrice,DemandScore,DemandPrice,SmoothedDemandPrice
2016-10-04 07:59:00,BHMBCCMKT01,577,61,0,car,26.14453614,91.73617216,low,1,0.10571923743500866,10.0,0.10357865446686618,10.82862923573493,10.82862923573493
2016-10-04 08:25:00,BHMBCCMKT01,577,64,0,car,26.14453614,91.73617216,low,1,0.11091854419410745,10.554592720970538,0.1066637630719676,10.85331010457574,10.836856192015201
2016-10-04 08:59:00,BHMBCCMKT01,577,80,0,car,26.14453614,91.73617216,low,2,0.1386481802426343,11.247833622183709,0.12359362464487524,10.988748997159002,10.887487127063135
2016-10-04 09:32:00,BHMBCCMKT01,577,107,0,car,26.14453614,91.73617216,low,2,0.1854419410745234,12.175043327556326,0.15113818744088534,11.209105499527084,10.994693251217786
2016-10-04 09:59:00,BHMBCCMKT01,577,150,0,bike,26.14453614,91.73617216,low,2,0.25996533795493937,13.474870017331023,0.1654831800646754,11.323865440517405,11.10441731431766
2016-10-04 10:26:00,BHMBCCMKT01,577,177,0,car,26.14453614,91.73617216,low,3,0.30675909878682844,15.008665511265166,0.22186351421185083,11.774908113694806,11.327914247443376
2016-10-04 10:59:00,BHMBCCMKT01,577,219,0,truck,26.14453614,91.73617216,high,6,0.37954939341421146,16.90641247833622,0.17890303254430107,11.431224260354409,11.362350918413721
2016-10-04 11:25:00,BHMBCCMKT01,577,247,0,car,26.14453614,91.73617216,average,5,0.42807625649913345,19.04679376083189,0.2349718451878035,11.879774761502429,11.534825532776624
2016-10-04 11:59:00,BHMBCCMKT01,577,259,0,cycle,26.14453614,91.73617216,average,5,0.4488734835355286,20.0,0.19922341641645375,11.593787331331631,11.554479465628294
2016-10-04 12:29:00,BHMBCCMKT01,577,266,0,bike,26.14453614,91.73617216,high,8,0.4610051993067591,20.0,0.16912189521507642,11.352975161720611,11.487311364325734
2016-10-04 13:02:00,BHMBCCMKT01,577,269,0,car,26.14453614,91.73617216,high,7,0.4662045060658579,20.0,0.20060440155023462,11.604835212401877,11.526485980351115
2016-10-04 13:29:00,BHMBCCMKT01,577,263,0,car,26.14453614,91.73617216,high,7,0.4558058925476603,20.0,0.19460888460764936,11.556871076861196,11.536614345854476
2016-10-04 14:02:00,BHMBCCMKT01,577,238,0,car,26.14453614,91.73617216,high,5,0.4124783362218371,20.0,0.1684652428936723,11.347721943149377,11.473650211619443
2016-10-04 14:29:00,BHMBCCMKT01,577,215,0,truck,26.14453614,91.73617216,average,3,0.37261698440207974,20.0,0.23089056970855648,11.847124557668451,11.598141660302446
2016-10-04 14:57:00,BHMBCCMKT01,577,192,0,bike,26.14453614,91.73617216,average,3,0.3327556325823224,20.0,0.1500710983129089,11.200568786503272,11.465617369036055
2016-10-04 15:30:00,BHMBCCMKT01,577,165,0,car,26.14453614,91.73617216,low,2,0.28596187175043325,20.0,0.20947002356512348,11.675760188520988,11.535664975531034
